cheese,milk,country,region,family,type,fat_content,calcium_content,texture,rind,color,flavor,aroma,vegetarian,vegan,producers
Lairobell,goat,"Scotland, United Kingdom",Orkney Isles,NA,"hard, artisan",NA,NA,"crumbly, open",natural,pale yellow,"herbaceous, sweet",goaty,TRUE,FALSE,NA
Lajta,cow,Hungary,NA,NA,soft,50%,NA,"creamy, open",washed,yellow,piquant,"aromatic, stinky, strong",FALSE,FALSE,NA
Lake District Extra Mature Cheddar,cow,United Kingdom,Cumbrian,Cheddar,"semi-soft, artisan",NA,NA,creamy,NA,pale yellow,sweet,rich,TRUE,FALSE,The Lake District Cheese Company
Lake District Mature Cheddar,cow,United Kingdom,Cumbrian,Cheddar,"soft, artisan",NA,NA,"crumbly, dense",NA,pale yellow,"savory, sweet",fresh,TRUE,FALSE,The Lake District Cheese Company
Lamb Chopper,sheep,"Netherlands, United States",California,Gouda,hard,NA,NA,"dense, firm, smooth",waxed,ivory,"buttery, caramel, creamy, nutty, sweet","mild, sweet",TRUE,FALSE,Cypress Grove Chevre
Lanark Blue,sheep,Scotland,NA,NA,"semi-soft, artisan, blue-veined",NA,NA,"brittle, grainy",NA,NA,NA,NA,TRUE,FALSE,Errington Cheese Ltd.
Lanark White,sheep,Scotland,NA,NA,hard,NA,NA,"buttery, crumbly, flaky",natural,pale white,"grassy, milky, nutty, salty","grassy, milky, musty",TRUE,FALSE,Errington Cheese Ltd.
Lancashire Smoked,cow,England,NA,NA,hard,NA,NA,"buttery, crumbly",natural,red,"acidic, nutty, smokey , tangy, woody","buttery, fresh, grassy, smokey",FALSE,FALSE,Mrs. Kirkham's
Landaff,cow,United States,New Hampshire,NA,"semi-hard, artisan",NA,NA,"creamy, firm, open",natural,straw,"mild, tangy",aromatic,NA,NA,"Jasper Hill Farm, Landaff Creamery, LLC"
Langres,cow,France,NA,NA,semi-soft,NA,NA,"crumbly, firm",washed,orange,NA,strong,NA,NA,NA
Lappi,cow,Finland,Lapland,Swiss Cheese,semi-soft,NA,NA,"creamy, firm, open, smooth",rindless,yellow,"mild, sweet",NA,FALSE,FALSE,NA
Largo,cow,United States,California,NA,"soft, artisan",NA,NA,"creamy, smooth",bloomy,pale yellow,"mushroomy, nutty, sweet","pleasant, sweet",NA,NA,Andante Dairy
Laruns,sheep,France,Laruns,NA,"soft, artisan",NA,NA,"brittle, firm, supple",natural,straw,"acidic, mild, nutty, salty, sweet",mild,FALSE,FALSE,NA
Latteria Navel,cow,Italy,Friuli-Venezia Giulia and the Veneto,NA,"hard, soft-ripened",NA,NA,brittle,natural,straw,full-flavored,aromatic,NA,NA,NA
Latteria San Biagio,cow,Italy,Veneto,NA,"soft, artisan",NA,NA,creamy,natural,white,"acidic, sweet",subtle,FALSE,FALSE,La Casearia Carpenedo S.r.l.
Laura Chenel Taupiniere,goat,United States,"Carneros, Sonoma, California",NA,"soft, artisan",NA,NA,"creamy, soft",ash coated,white,"creamy, tart","aromatic, fresh",NA,NA,Laura Chenel's Chevre
Laura Chenel Tome,goat,United States,"Sonoma, California",Cheddar,"firm, artisan",NA,NA,"crumbly, dense, firm",cloth wrapped,ivory,"caramel, savory","rich, sweet",TRUE,FALSE,Laura Chenel's Chevre
Laura Chenel's Cabecou,goat,United States,California,NA,fresh firm,NA,NA,"creamy, dense, smooth",rindless,cream,"creamy, mild, nutty","mild, nutty, rich",NA,NA,Laura Chenel's Chevre
Lavistown,cow,Ireland,Stoneyford,NA,"semi-hard, artisan",NA,NA,"crumbly, dry, firm",natural,yellow,"creamy, mild, milky, tangy, vegetal",NA,TRUE,FALSE,Knockdrinna Farmhouse Cheese
Le Brebiou,sheep,France,Pyrénées-Atlantiques,Brie,"semi-soft, artisan, soft-ripened",26%,NA,"creamy, firm, smooth",bloomy,white,"mild, milky, sweet",musty,FALSE,FALSE,NA
Le Brin,cow,France,Rhone-Alps,NA,"semi-soft, artisan",40%,NA,"creamy, spreadable",washed,white,"buttery, sweet","aromatic, nutty, yeasty",TRUE,FALSE,Fromagerie GUILLOTEAU
Le Cendrillon,goat,Canada,Quebec,NA,soft,25%,NA,"creamy, smooth",ash coated,ivory,"acidic, pronounced, sour",goaty,NA,NA,La Maison Alexis de Portneuf Inc.
Le Chevrot,goat,France,Loire Valley,NA,soft,50%,NA,"creamy, dense, firm",mold ripened,cream,"herbaceous, nutty, strong","goaty, strong",FALSE,FALSE,SEVRE & BELLE
Le Conquerant Camembert,cow,France,"Pays d’Auge, Normandy",Camembert,"soft, artisan",NA,NA,soft-ripened,waxed,white,"fruity, yeasty",rich,FALSE,FALSE,NA
Le Conquerant Demi Pont L'eveque,cow,"Australia, France",NA,NA,"soft, artisan",NA,NA,"chalky, creamy, soft",washed,NA,"creamy, mild",pungent,NA,NA,"Fromagerie Graindorge, Will Studd Enterprizes Pty Ltd"
Le Double Joie,"cow, goat",Canada,Quebec,Brie,"soft, soft-ripened",27%,NA,"buttery, creamy, runny",bloomy,cream,"buttery, creamy",mushroom,NA,NA,La Maison Alexis de Portneuf Inc.
Le Duc Vacherin,cow,France,Franche Comté,NA,"soft, soft-ripened",NA,NA,"smooth, soft",washed,ivory,"buttery, creamy, lemony, mild","rich, woody",NA,NA,Fromagerie Jean Perrin
Le Fium Orbo,"goat, sheep",France,NA,NA,soft,50%,NA,soft-ripened,natural,NA,NA,NA,FALSE,FALSE,NA
Le Gruyère AOP,cow,Switzerland,NA,NA,hard,49-53%,NA,compact,NA,NA,sweet,earthy,FALSE,FALSE,NA
Le Lacandou,sheep,France,Aveyron,NA,"soft, artisan",45%,NA,creamy,natural,pale yellow,fruity,grassy,FALSE,FALSE,NA
Le Marquis Chevre,goat,France,Rhone Valley,Cheddar,"soft, artisan",NA,NA,soft,natural,ivory,"lemony, tangy",mild,NA,NA,Cheese Slices
Le Maréchal,cow,Switzerland,NA,NA,hard,NA,NA,"firm, smooth",natural,yellow,"buttery, creamy, floral, herbaceous","buttery, floral, grassy, herbal",FALSE,FALSE,Jean-Michel Rapin
Le Moutier,goat,Canada,Québec,NA,fresh firm,NA,NA,firm,natural,white,sweet,NA,NA,NA,Fromagerie de l'Abbaye Saint-Benoît
Le Reflet de Portneuf,,Canada,Quebec,NA,soft,30%,NA,"buttery, creamy",washed,cream,"buttery, creamy, mushroomy",NA,NA,NA,La Maison Alexis de Portneuf Inc.
Le St-Raymond,,Canada,Quebec,NA,soft,20%,NA,"smooth, supple",washed,ivory,"fruity, nutty, woody",NA,NA,NA,La Maison Alexis de Portneuf Inc.
Le Wavreumont,cow,Belgium,Wallonia,NA,"semi-soft, artisan",NA,NA,"buttery, creamy, semi firm, smooth, soft",washed,pale yellow,"buttery, creamy, nutty, smooth, strong","buttery, fresh, grassy",NA,NA,Fromagerie des Ardennes sprl
Leafield,sheep,Great Britain,Oxfordshire,Brie,"hard, artisan",48%,NA,chewy,natural,pale yellow,fruity,fruity,TRUE,FALSE,NA
Lebbene,"goat, sheep",Israel,NA,NA,soft,45%,NA,,natural,white,mild,mild,NA,NA,NA
Leerdammer,cow,Netherlands,"Schoonrewoerd, Leerdam",Gouda,semi-hard,NA,NA,"creamy, open, smooth",natural,white,"mild, nutty, sweet",NA,TRUE,FALSE,NA
Legacy,cow,United States,Missouri,Gouda,"semi-hard, artisan",NA,NA,creamy,rindless,pale yellow,creamy,aromatic,TRUE,FALSE,Heartland Creamery
Legato,cow,United States,California,Camembert,"soft, soft-ripened",NA,NA,"creamy, soft-ripened",mold ripened,pale yellow,full-flavored,strong,TRUE,FALSE,Andante Dairy
Lemon Fetish,sheep,Canada,"Prince Edward County, Ontario",Feta,"fresh firm, artisan",NA,NA,"crumbly, dry",natural,white,"citrusy, lemony, salty, tangy","clean, lactic",NA,NA,Fifth Town Artisan Cheese
Lemon Myrtle Chevre,goat,Australia,South Australia,NA,"fresh firm, artisan",45%,NA,"creamy, firm, smooth",rindless,white,"acidic, herbaceous","fresh, herbal",TRUE,FALSE,Woodside Cheese Wrights
Leonora®,goat,Spain,Castilla Leon,NA,"semi-soft, artisan",NA,NA,soft-ripened,bloomy,white,"lemony, mushroomy",lactic,FALSE,FALSE,NA
Les Calendos,cow,Canada,Quebec,Camembert,"soft, soft-ripened",NA,NA,"creamy, smooth, supple",bloomy,cream,"creamy, full-flavored",NA,NA,NA,La Maison Alexis de Portneuf Inc.
Leyden,cow,Netherlands,Leiden,Gouda,"semi-hard, artisan",30-40%,NA,firm,NA,yellow,"spicy, tangy",aromatic,FALSE,FALSE,NA
Liburnski Sir,"cow, goat, sheep",Croatia,old Liburnia (Dalmatia),NA,"hard, artisan",NA,NA,"creamy, open",natural,golden yellow,"creamy, earthy, nutty, tart","buttery, clean, goaty, mild",TRUE,FALSE,SIRANA GLIGORA D.O.O
Lil Moo,cow,United States,Georgia,NA,soft,NA,NA,"creamy, dense, spreadable",rindless,pale yellow,"creamy, smooth, sweet","fresh, grassy",NA,NA,Sweet Grass Dairy
Liliputas,cow,Lithuania,Belvederis,NA,semi-hard,50%,NA,"elastic, firm",waxed,yellow,milky,"fresh, lactic",NA,NA,NA
Limburger,cow,"Belgium, Germany, Netherlands",Duchy of Limburg,NA,"semi-soft, smear-ripened",42%,497 mg/100g,"crumbly, firm, smooth",washed,straw,"grassy, mild, mushroomy",stinky,FALSE,FALSE,NA
Lincoln Log,goat,United States,"Ann Arbor, MI",NA,"semi-soft, soft-ripened",NA,NA,"creamy, dense",mold ripened,white,"citrusy, lemony, mild, mushroomy, tangy","goaty, milky",FALSE,FALSE,Zingerman's Creamery
Lincolnshire Poacher,cow,England,NA,Cheddar,hard,NA,NA,creamy,NA,yellow,"nutty, sweet",earthy,NA,NA,F.W.Read & Sons Ltd
Lindale,cow,United States,North Carolina,Gouda,"semi-soft, artisan",NA,NA,"creamy, smooth",natural,pale yellow,"buttery, sweet",rich,FALSE,FALSE,Goat Lady Dairy
Lindy Hop,cow,United States,Vermont,Blue,"semi-soft, blue-veined",NA,NA,creamy,natural,straw,"creamy, grassy, mild","rich, strong",FALSE,FALSE,Dancing Cow Farm
Lingot des Causses,goat,France,NA,NA,soft,NA,NA,"creamy, firm",NA,NA,NA,"buttery, clean, fresh",NA,NA,NA
Lingot Saint Bousquet d'Orb,goat,France,Herault,Brie,"soft, artisan",NA,NA,smooth,natural,white,sweet,herbal,FALSE,FALSE,NA
Liptauer,cow,United States,"Ann Arbor, Michigan",NA,"fresh soft, artisan",NA,NA,,rindless,brown,"garlicky, savory, spicy, sweet","garlicky, spicy",TRUE,FALSE,Zingerman's Creamery
Little Bloom on the Prairie,goat,United States,Illinois,Camembert,"soft, soft-ripened",NA,NA,"creamy, dense, smooth, soft-ripened",mold ripened,white,"citrusy, creamy, mushroomy, tangy","fresh, lactic",FALSE,FALSE,Prairie Fruits Farm
Little Colonel,cow,"England, Great Britain, United Kingdom",Dorset,NA,"semi-soft, artisan",NA,NA,"smooth, supple",washed,pale yellow,spicy,pungent,TRUE,FALSE,James’s Cheese
Little Dragon,goat,United States,"Ann Arbor, Michigan",NA,soft,NA,NA,creamy,NA,white,"citrusy, creamy, mellow, sweet","fresh, herbal",FALSE,FALSE,Zingerman's Creamery
Little Napoleon,goat,United States,"Ann Arbor, Michigan",NA,"hard, artisan",NA,NA,firm,mold ripened,pale yellow,"acidic, savory","goaty, pungent",FALSE,FALSE,Zingerman's Creamery
Little Qualicum Raclette,cow,Canada,British Columbia,Raclette,"semi-soft, artisan",NA,NA,"firm, supple",washed,ivory,"meaty, strong","pungent, stinky",NA,NA,Little Qualicum Cheeseworks
Little Rydings,sheep,England,North Wootton,NA,"soft, artisan",48%,NA,"creamy, smooth, springy",mold ripened,white,"mild, sweet","rich, sweet",TRUE,FALSE,Wootton Organic Dairy
Little Ypsi,goat,United States,"Ann Arbor, Michigan",NA,"semi-soft, artisan",NA,NA,"buttery, firm",natural,ivory,buttery,buttery,FALSE,FALSE,Zingerman's Creamery
Livarot,cow,France,NA,NA,"soft, artisan",NA,NA,creamy,washed,NA,full-flavored,"pungent, strong",FALSE,FALSE,NA
Llanboidy,cow,Wales,Carmarthenshire,Cheddar,"hard, artisan",NA,NA,"firm, smooth",natural,white,"buttery, spicy","grassy, sweet",FALSE,FALSE,Llanboidy
Llanglofan Farmhouse,cow,"Great Britain, United Kingdom, Wales",Pembrokeshire,NA,"hard, artisan",45%,NA,"crumbly, firm, smooth",natural,yellow,"citrusy, savory, smokey , spicy","lactic, smokey",TRUE,FALSE,CARMARTHENSHIRE CHEESE COMPANY
Lo Sburrato,sheep,Italy,Tuscany,Pecorino,"semi-soft, artisan",NA,NA,"compact, creamy",natural,straw,"creamy, smooth, sweet",aromatic,NA,NA,Caseificio Pinzani Srl
Lo Speziato,cow,Italy,"Treviso, Veneto",NA,"soft, artisan",NA,NA,compact,natural,ivory,"full-flavored, spicy",fresh,NA,NA,Moro Latteria di Moro Sergio
Loch Arthur Farmhouse,cow,Scotland,Dumfries,Cheddar,hard,48%,NA,firm,NA,NA,nutty,NA,TRUE,FALSE,Loch Arthur Creamery
Loddiswell Avondale,goat,England,Devon,NA,semi-soft,NA,NA,,washed,orange,sweet,goaty,FALSE,FALSE,Jocelyn and Bill Martin
Loma Alta,cow,United States,California,Camembert,"semi-soft, soft-ripened",NA,NA,firm,mold ripened,white,"buttery, nutty",rich,FALSE,FALSE,Nicasio Valley Cheese Company
Longhorn,cow,United States,"Colby, Wisconsin",Cheddar,semi-hard,NA,NA,"firm, open, springy",rindless,orange,"mild, sweet",NA,FALSE,FALSE,Williams Cheese Company
Lord of the Hundreds,sheep,United Kingdom,East Sussex,NA,"semi-hard, artisan",NA,NA,"firm, grainy, open",natural,golden yellow,"burnt caramel, nutty, savory, sweet","grassy, sweet",TRUE,FALSE,Traditional Cheese Dairy
Lost Lake,sheep,Canada,"Prince Edward County, Ontario",NA,"fresh firm, artisan, soft-ripened",NA,NA,"creamy, semi firm, soft",mold ripened,white,"creamy, mushroomy","rich, yeasty",NA,NA,Fifth Town Artisan Cheese
Lou Bergier Pichin,cow,Italy,Piemonte,NA,"semi-soft, artisan",NA,NA,"buttery, open, smooth",natural,brown,"creamy, floral, mushroomy","grassy, milky",TRUE,FALSE,NA
Lou Palou,cow,France,Pyrénées,NA,semi-soft,NA,NA,"elastic, smooth",NA,NA,NA,pleasant,FALSE,FALSE,NA
Lou Pevre,goat,France,Provence,NA,"soft, processed",NA,NA,smooth,natural,white,acidic,goaty,FALSE,FALSE,NA
Lunetta,cow,"Canada, Italy",Lombardy,NA,"fresh soft, artisan",NA,NA,creamy,natural,white,"creamy, salty","aromatic, fresh",NA,NA,Fifth Town Artisan Cheese
Lyburn Garlic and Nettle,cow,"England, Great Britain, United Kingdom",Landford,NA,"semi-soft, artisan",NA,NA,"creamy, open, smooth",washed,pale yellow,"garlicky, herbaceous, pronounced, spicy, strong","aromatic, rich, strong",TRUE,FALSE,Lyburn Farm
Lyburn Gold,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan",NA,NA,"creamy, open, smooth",washed,brownish yellow,nutty,NA,TRUE,FALSE,Lyburn Farm
Lyburn Lightly Oak Smoked,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"semi-hard, artisan",NA,NA,smooth,washed,pale yellow,"smokey , smooth, subtle",smokey,TRUE,FALSE,Lyburn Farm
Lyburn's Winchester,cow,"England, Great Britain, United Kingdom",Landford,Gouda,"hard, artisan",NA,NA,creamy,natural,brownish yellow,"creamy, nutty",NA,TRUE,FALSE,Lyburn Farm
Maasdam,cow,Netherlands,All Holland,Gouda,semi-hard,45%,NA,"creamy, open, supple",NA,pale yellow,"buttery, nutty, sweet",fruity,FALSE,FALSE,NA
Macadamia Nut Cheese,,United States,Brooklyn NY,NA,"firm, artisan",NA,NA,"firm, spreadable",NA,brown,"creamy, nutty, sweet",nutty,TRUE,FALSE,Dr. Cow Tree Nut Cheese
Macconais,"cow, goat",France,Bourgogne,Blue,"soft, artisan, soft-ripened",NA,NA,"creamy, firm, smooth",bloomy,cream,"salty, tangy",herbal,FALSE,FALSE,NA
Madrona,goat,United States,Oregon,NA,"semi-soft, artisan",NA,NA,creamy,natural,ivory,mild,"fruity, herbal",NA,NA,Briar Rose Creamery
Maffra Aged Rinded Cheddar,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",NA,NA,"buttery, crumbly, firm",cloth wrapped,straw,"earthy, meaty, sweet",grassy,FALSE,FALSE,Maffra Cheese Company Pty Ltd
Maffra Cheshire,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"mellow, salty, sharp, tart",NA,TRUE,FALSE,Maffra Cheese Company Pty Ltd
Maffra Dargo Walnut,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"crumbly, dense, firm, flaky",natural,golden yellow,"mild, nutty, sweet","nutty, sweet",NA,NA,Maffra Cheese Company Pty Ltd
Maffra Mature Cheddar,cow,Australia,"Gippsland, Victoria",Cheddar,"hard, artisan",NA,NA,"creamy, crumbly, firm, smooth",waxed,yellow,"acidic, salty, smooth",NA,TRUE,FALSE,Maffra Cheese Company Pty Ltd
Maffra Peppercorn Cheddar,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"creamy, firm",natural,yellow,"creamy, spicy",spicy,NA,NA,Maffra Cheese Company Pty Ltd
Maffra Red Leicester,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,"buttery, creamy, dense, smooth",NA,brownish yellow,"creamy, mellow, smooth",NA,TRUE,FALSE,Maffra Cheese Company Pty Ltd
Maffra Sage Derby,cow,Australia,"Gippsland, Victoria",Cheddar,"semi-hard, artisan",NA,NA,"firm, smooth",NA,pale yellow,"creamy, herbaceous, smooth","herbal, sweet",TRUE,FALSE,Maffra Cheese Company Pty Ltd
Maffra Wensleydale,cow,Australia,"Gippsland, Victoria",NA,"hard, artisan",NA,NA,crumbly,natural,pale yellow,"creamy, lemony",NA,NA,NA,Maffra Cheese Company Pty Ltd
Maggie's Round,cow,United States,Massachusetts,Tomme,"semi-hard, artisan",NA,NA,"firm, smooth",natural,blue-grey,"buttery, citrusy, nutty, sharp","earthy, fruity, herbal",TRUE,FALSE,Cricket Creek Farm
Magna,cow,Sweden,Oviken,Blue,"firm, artisan, blue-veined",34%,NA,,mold ripened,ivory,"full-flavored, salty, sharp",NA,NA,NA,Oviken cheese
Mahoe Aged Gouda,cow,Netherlands,NA,Gouda,NA,NA,NA,firm,NA,yellow,nutty,NA,NA,NA,Mahoe Farmhouse Cheese
Mahón,cow,Spain,"Menorca, Balearic Islands",NA,"semi-hard, artisan",NA,NA,"crumbly, dense",washed,pale yellow,"buttery, salty","nutty, sweet",FALSE,FALSE,NA
Maida Vale,cow,England,NA,NA,semi-soft,NA,NA,"buttery, soft, supple",washed,pink and white,"grassy, meaty, nutty, savory, umami, vegetal","barnyardy, earthy, grassy, stinky, yeasty",TRUE,FALSE,Village Maid Cheese
Maisie's Kebbuck,cow,"Great Britain, Scotland, United Kingdom",Lanarkshire,NA,"semi-hard, artisan",29.80%,NA,"creamy, crumbly",natural,white,NA,fresh,TRUE,FALSE,Errington Cheese Ltd.
Majorero,goat,Spain,Canary Islands,NA,semi-hard,NA,NA,"buttery, creamy",natural,pale white,acidic,"milky, nutty",FALSE,FALSE,NA
Malvarosa®,sheep,Spain,Valencia,NA,"semi-firm, artisan",NA,NA,"firm, smooth",natural,straw,"buttery, sweet","fresh, rich",FALSE,FALSE,NA
Malvern,sheep,"England, Great Britain, United Kingdom",Severn Valley,NA,"semi-hard, artisan",50%,NA,"creamy, dense",NA,ivory,"butterscotch, herbaceous, sweet",NA,TRUE,FALSE,NA
Mamirolle,cow,"Canada, France","Plessisville, Quebec",NA,"semi-soft, artisan",23%,NA,"chewy, supple",washed,ivory,"buttery, fruity, salty, sweet","earthy, pungent",FALSE,FALSE,Eco-Delices Inc.
Manchego,sheep,Spain,NA,NA,hard,NA,NA,"compact, firm",NA,pale yellow,"buttery, nutty",NA,NA,NA,NA
Mandolin,cow,Australia,South Australia,NA,"semi-hard, artisan, smear-ripened",45%,NA,"crumbly, soft, supple",leaf wrapped,pale yellow,"creamy, grassy, smooth","grassy, herbal",TRUE,FALSE,Woodside Cheese Wrights
Mango Rebel,cow,Austria,Sulzberg,NA,"semi-hard, artisan",50%,NA,"creamy, firm",natural,pale yellow,"fruity, spicy","fresh, fruity",NA,NA,Sulzberger Käserebellen Sennerei GmbH
Manon,goat,Australia,South Australia,NA,"fresh soft, artisan",45%,NA,"creamy, smooth",leaf wrapped,white,"creamy, garlicky, spicy, strong","aromatic, garlicky, spicy, strong",TRUE,FALSE,Woodside Cheese Wrights
Manouri,"goat, sheep",Greece,"Central and Western Macedonia, Thessalia",Feta,"semi-soft, whey",36-38%,NA,creamy,rindless,white,"mild, milky","clean, nutty, subtle",NA,NA,NA
Manteca,cow,Italy,Basilicata,NA,"semi-soft, artisan",NA,NA,"dense, elastic, stringy",natural,pale yellow,buttery,"floral, fruity",FALSE,FALSE,Casa Madaio
Manur,"cow, sheep",Serbia,NA,NA,"hard, artisan",40%,NA,creamy,natural,NA,salty,NA,FALSE,FALSE,NA
Marble Cheddar,cow,United Kingdom,NA,Cheddar,"hard, processed",NA,NA,"firm, smooth",rindless,NA,creamy,rich,NA,NA,NA
Marble Cheese,cow,United Kingdom,NA,NA,"hard, processed",NA,NA,firm,rindless,golden orange,"mild, smooth, sweet, tangy",NA,FALSE,FALSE,NA
Marco Polo,cow,United States,"Seattle, Washington",Cheddar,"hard, artisan",NA,NA,"creamy, crumbly",cloth wrapped,ivory,creamy,"clean, rich",NA,NA,Beecher's
Maredsous,cow,Belgium,NA,NA,soft,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Margot,cow,Italy,Piemonte,NA,semi-soft,NA,NA,firm,natural,cream,"bitter, full-flavored",NA,FALSE,FALSE,NA
Maribo,cow,Denmark,Maribo,Gouda,"semi-hard, artisan",35-40%,NA,"creamy, firm, open",waxed,pale yellow,tangy,strong,FALSE,FALSE,NA
Marin French Triple Crème,cow,United States,"Petaluma, California",Brie,soft,NA,NA,"fluffy, smooth",bloomy,NA,sweet,"rich, sweet",NA,NA,Marin French Cheese
Marisa,sheep,United States,Wisconsin,NA,"semi-soft, artisan",NA,NA,"dense, firm",NA,white,"mellow, sweet",pleasant,TRUE,FALSE,Carr Valley Cheese Company
Maroilles,cow,France,NA,NA,"soft, artisan",NA,NA,"creamy, smooth",washed,NA,sweet,NA,FALSE,FALSE,NA
Martha's Heat,cow,Australia,"Mornington Peninsula, Melbourne",Cheddar,"hard, artisan",NA,NA,,NA,brownish yellow,"smokey , spicy","smokey, spicy",TRUE,FALSE,BoatShed Cheese
Mascares,"goat, sheep",France,Provencale,Tomme,"fresh soft, artisan",NA,NA,smooth,leaf wrapped,white,NA,"earthy, floral",FALSE,FALSE,NA
Mascarpone,cow,Italy,Lombardy,NA,fresh soft,NA,NA,"buttery, creamy, smooth, spreadable",rindless,white,"buttery, creamy, mild",fresh,NA,NA,NA
Mastorazio,sheep,Italy,Campania,NA,"hard, artisan",NA,NA,"compact, dense",natural,pale yellow,"herbaceous, nutty, sharp, spicy","herbal, milky",FALSE,FALSE,Casa Madaio
Matocq,"cow, sheep",France,NA,NA,"semi-hard, processed",50%,NA,chewy,NA,cream,"acidic, nutty",nutty,FALSE,FALSE,NA
Mature Wensleydale,cow,"England, United Kingdom",North Yorkshire,NA,"hard, artisan",48%,NA,crumbly,cloth wrapped,pale yellow,strong,"rich, ripe",FALSE,FALSE,Wensleydale Creamery
May Hill Green,cow,"England, Great Britain, United Kingdom",Gloucestershire,NA,"semi-soft, artisan",NA,NA,runny,leaf wrapped,cream,"creamy, milky",strong,TRUE,FALSE,Charles Martell & Son Limited
Maytag Blue,cow,United States,Iowa,Blue,"semi-hard, blue-veined",NA,NA,"crumbly, dense",rindless,cream,"lemony, savory, tangy","pungent, strong",NA,NA,Maytag Dairy Farms
McLaren,cow,Australia,South Australia,Camembert,"soft, artisan, soft-ripened",35%,NA,"chalky, creamy, soft, soft-ripened",bloomy,pale yellow,"creamy, mushroomy, smooth","mushroom, rich, strong",TRUE,FALSE,Woodside Cheese Wrights
Medallion,cow,United States,Maine,NA,"soft, artisan",NA,NA,"creamy, smooth",bloomy,pale yellow,"mushroomy, sweet",rich,TRUE,FALSE,Lakin's Gorges Cheese LLC
Meira,sheep,Iraq,NA,NA,semi-hard,NA,NA,,NA,NA,NA,NA,FALSE,FALSE,NA
Melange,"cow, goat",United States,California,Brie,"soft, soft-ripened",NA,NA,"firm, soft-ripened",bloomy,cream,"piquant, spicy, sweet, tart",goaty,NA,NA,Andante Dairy
Melange Brie,"cow, goat",United States,California,Brie,"soft, soft-ripened",NA,NA,"creamy, smooth, soft-ripened",bloomy,ivory,"buttery, creamy, mild, piquant, sweet, tangy","earthy, goaty, mushroom",TRUE,FALSE,Marin French Cheeese Co.
Melinda Mae,cow,United States,"Lebanon, CT",Brie,"soft, artisan, soft-ripened",NA,NA,"creamy, fluffy, runny, smooth, soft",bloomy,ivory,"buttery, mild, piquant, pungent, savory, subtle, sweet","fruity, musty, yeasty",NA,NA,The Mystic Cheese Company
Melville,goat,United States,"Lebanon, CT",NA,"fresh soft, artisan, soft-ripened",NA,NA,"elastic, oily, soft, supple",NA,white,"acidic, buttery, mild, sweet, tart",fresh,NA,NA,The Mystic Cheese Company
Menage,"cow, goat, sheep",United States,Wisconsin,NA,semi-hard,NA,NA,"creamy, dry, firm",waxed,ivory,"full-flavored, strong",pleasant,TRUE,FALSE,Carr Valley Cheese Company
Menallack Farmhouse,cow,England,NA,NA,hard,NA,NA,,NA,NA,NA,NA,TRUE,FALSE,NA
Menonita,cow,Mexico,NA,Cheddar,semi-soft,NA,NA,firm,natural,pale yellow,"buttery, mild",NA,NA,NA,NA
Meredith Ashed Pyramids,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",ash coated,white,"creamy, smooth",fresh,NA,NA,Meredith Dairy
Meredith Blue,sheep,Australia,"Ballarat, Victoria",Blue,"soft, semi-soft, artisan, blue-veined",NA,NA,creamy,natural,blue,"mild, mushroomy, sweet","fresh, goaty",FALSE,FALSE,Meredith Dairy
Meredith Chevre Ash,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",ash coated,white,"creamy, smooth","clean, fresh",TRUE,FALSE,Meredith Dairy
Meredith Chevre Dill,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",rindless,white,"herbaceous, smooth","aromatic, clean, fresh, herbal",TRUE,FALSE,Meredith Dairy
Meredith Chevre Plain,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",rindless,white,"acidic, smooth","clean, fresh",TRUE,FALSE,Meredith Dairy
Meredith Goat Cheese in Extra Virgin Olive Oil,goat,Australia,Victoria,NA,"fresh soft, artisan",NA,NA,"creamy, soft",NA,white,"garlicky, herbaceous, spicy","fresh, herbal, spicy, strong",NA,NA,Meredith Dairy
Merry Wyfe,cow,United Kingdom,South West England,NA,semi-hard,NA,NA,"creamy, springy",washed,orange,NA,aromatic,TRUE,FALSE,The Bath Soft Cheese Co.
Mersey Valley Original Vintage,cow,Australia,Tasmania,Cheddar,hard,NA,NA,"creamy, crumbly, spreadable",natural,yellow,"buttery, full-flavored, sharp",strong,NA,NA,Mersey Valley - National Foods
Metronome,"cow, goat",United States,California,NA,"semi-soft, soft-ripened",NA,NA,"creamy, firm",natural,pale yellow,"buttery, tart","goaty, grassy, rich",NA,NA,Andante Dairy
